"","Company","Date200506","GWP200506","RE200506","NWP200506","GIC200506","NRR200506","RR200506","NIC200506","UWE200506","UWR200506","II200506","OI200506","NPAT200506","Date200512","GWP200512","RE200512","NWP200512","GIC200512","NRR200512","RR200512","NIC200512","UWE200512","UWR200512","II200512","OI200512","NPAT200512","Date200606","GWP200606","RE200606","NWP200606","GIC200606","NRR200606","RR200606","NIC200606","UWE200606","UWR200606","II200606","OI200606","NPAT200606","Date200612","GWP200612","RE200612","NWP200612","GIC200612","NRR200612","RR200612","NIC200612","UWE200612","UWR200612","II200612","OI200612","NPAT200612","Date200706","GWP200706","RE200706","NWP200706","GIC200706","NRR200706","RR200706","NIC200706","UWE200706","UWR200706","II200706","OI200706","NPAT200706","Date200712","GWP200712","RE200712","NWP200712","GIC200712","NRR200712","RR200712","NIC200712","UWE200712","UWR200712","II200712","OI200712","NPAT200712","Date200806","GWP200806","RE200806","NWP200806","GIC200806","NRR200806","RR200806","NIC200806","UWE200806","UWR200806","II200806","OI200806","NPAT200806","Date200812","GWP200812","RE200812","NWP200812","GIC200812","NRR200812","RR200812","NIC200812","UWE200812","UWR200812","II200812","OI200812","NPAT200812","Date200906","GWP200906","RE200906","NWP200906","GIC200906","NRR200906","RR200906","NIC200906","UWE200906","UWR200906","II200906","OI200906","NPAT200906","Date200912","GWP200912","RE200912","NWP200912","GIC200912","NRR200912","RR200912","NIC200912","UWE200912","UWR200912","II200912","OI200912","NPAT200912","Date201006","GWP201006","RE201006","NWP201006","GIC201006","NRR201006","RR201006","NIC201006","UWE201006","UWR201006","II201006","OI201006","NPAT201006"
"140","SR INT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31 Dec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31 Dec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"141","SSL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31 Dec",14366,3618,10748,1569,0,-1541,3110,1968,5670,7735,-5478,7927,"31 Dec",14366,3618,10748,1569,0,-1541,3110,1968,5670,7735,-5478,7927,"31 Dec",-3421,0,-3421,-15907,0,-632,-15275,746,11108,9373,-6382,14099,"31 Dec",-3421,0,-3421,-15907,0,-632,-15275,746,11108,9373,-6382,14099,"31 Dec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"142","ST ANDREW","31 Dec",7751,79,7672,338,0,0,338,3356,3978,1464,-2888,2554,"31 Dec",11339,85,11254,1406,0,0,1406,3218,6630,1542,-3611,4561,"31 Dec",11339,85,11254,1406,0,0,1406,3218,6630,1542,-3611,4561,"31 Dec",15153,-164,15317,992,0,0,992,4319,10006,1851,-5222,6635,"31 Dec",15153,-164,15317,992,0,0,992,4319,10006,1851,-5222,6635,"31 Dec",11343,0,11343,250,0,0,250,2424,8669,1398,-5059,5008,"30 Jun",11343,0,11343,250,0,0,250,2424,8669,1398,-5059,5008,"30 Jun",12801,0,12801,987,0,0,987,3198,8616,1463,-7211,4560,"30 Jun",27194,0,27194,4335,0,0,4335,6691,16168,2695,-10700,8163,"30 Jun",14876,0,14876,3629,0,0,3629,3751,7496,1031,-5094,3433,"30 Jun",10397,0,10397,-478,0,0,-478,2758,8117,1027,-4773,4371
"143","ST PAUL","30 Sep",-35,-86,51,21122,0,15632,5490,-103,-5336,4057,0,-1279,"30 Sep",26,1188,-1162,11644,0,3328,8316,-139,-9339,4797,0,-4542,"30 Sep",26,1188,-1162,11644,0,3328,8316,-139,-9339,4797,0,-4542,"30 Sep",0,-864,864,-13250,0,-16470,3220,-392,-1964,4411,0,2447,"30 Sep",0,-864,864,-13250,0,-16470,3220,-392,-1964,4411,0,2447,"30 Sep",0,0,0,-26677,0,-14949,-11728,0,11728,5139,0,16867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"144","STATECOVER","30 Jun",80603,3182,77421,57925,319,-254,57860,13123,6438,6493,-3452,9479,"30 Jun",80603,3182,77421,57925,319,-254,57860,13123,6438,6493,-3452,9479,"30 Jun",50898,2635,48263,29700,698,-432,29434,9193,9636,6766,-7182,9220,"30 Jun",50898,2635,48263,29700,698,-432,29434,9193,9636,6766,-7182,9220,"30 Jun",39516,2648,36868,35436,486,-663,35613,9081,-7826,8846,-2592,-1572,"30 Jun",39516,2648,36868,35436,486,-663,35613,9081,-7826,8846,-2592,-1572,"30 Jun",56212,2648,53564,45282,1145,-564,44701,9999,-1136,-3882,-2573,-7591,"30 Jun",56212,2648,53564,45282,1145,-564,44701,9999,-1136,-3882,-2573,-7591,"30 Jun",62902,2142,60760,52464,1086,1518,49860,10673,227,9270,-1458,8039,"30 Jun",62902,2142,60760,52464,1086,1518,49860,10673,227,9270,-1458,8039,"30 Jun",73791,2142,71649,57546,564,1711,55271,11691,4687,13715,-2618,15784
"145","STEWART","31 Dec",450,94,356,141,0,26,115,1111,-870,331,-909,-1448,"31 Dec",1540,127,1413,357,0,21,336,1026,51,403,-734,-280,"31 Dec",1540,127,1413,357,0,21,336,1026,51,403,-734,-280,"31 Dec",1986,144,1842,2235,1377,55,803,1101,-62,476,-890,-476,"31 Dec",1986,144,1842,2235,1377,55,803,1101,-62,476,-890,-476,"31 Dec",2086,157,1929,1719,0,107,1612,1339,-1022,557,-993,-1458,"31 Dec",2086,157,1929,1719,0,107,1612,1339,-1022,557,-993,-1458,"31 Dec",1411,69,1342,587,14,99,474,1236,-368,655,-897,-610,"31 Dec",1411,69,1342,587,14,99,474,1236,-368,655,-897,-610,"31 Dec",1679,28,1651,562,0,-188,750,716,185,345,-1343,-813,"31 Dec",1679,28,1651,562,0,-188,750,716,185,345,-1343,-813
"146","SUNCORP","30 Jun",1171157,70852,1100305,883169,128691,881,753597,300704,46004,376425,-92094,330335,"30 Jun",1171157,70852,1100305,883169,128691,881,753597,300704,46004,376425,-92094,330335,"30 Jun",1195748,97846,1097902,982075,90476,73472,818127,327463,-47688,755718,-94727,613303,"30 Jun",1195748,97846,1097902,982075,90476,73472,818127,327463,-47688,755718,-94727,613303,"30 Jun",1198600,88571,1110029,825550,106140,64209,655201,295055,159773,576911,-162434,574250,"30 Jun",1198600,88571,1110029,825550,106140,64209,655201,295055,159773,576911,-162434,574250,"30 Jun",1224509,114557,1109952,1131682,155000,141241,835441,355392,-80881,134976,-57597,-3502,"30 Jun",1224509,114557,1109952,1131682,155000,141241,835441,355392,-80881,134976,-57597,-3502,"30 Jun",1283410,162598,1120812,1282456,125579,236229,920648,294130,-93966,491716,-87319,310431,"30 Jun",1283410,162598,1120812,1282456,125579,236229,920648,294130,-93966,491716,-87319,310431,"30 Jun",1221776,220228,1001548,1050746,238336,99416,712994,260614,27940,428451,-121660,334731
"147","SUNDERLAND","31 Dec",23262,6836,16426,11209,0,1829,9380,5670,1376,894,-1074,1196,"31 Dec",21985,5276,16709,9670,0,735,8935,5929,1845,953,-1625,1173,"31 Dec",21985,5276,16709,9670,0,735,8935,5929,1845,953,-1625,1173,"31 Dec",20897,6171,14726,13817,0,6307,7510,7215,1,1139,-1250,-110,"31 Dec",20897,6171,14726,13817,0,6307,7510,7215,1,1139,-1250,-110,"31 Dec",20170,5966,14204,11735,0,2035,9700,4730,-226,1144,-999,-81,"31 Dec",20170,5966,14204,11735,0,2035,9700,4730,-226,1144,-999,-81,"31 Dec",17827,4262,13565,12277,0,1131,11146,2943,-524,580,-445,-389,"31 Dec",17827,4262,13565,12277,0,1131,11146,2943,-524,580,-445,-389,"31 Dec",17372,4269,13103,13429,0,2560,10869,2894,-660,391,-815,-1084,"31 Dec",17372,4269,13103,13429,0,2560,10869,2894,-660,391,-815,-1084
"148","SUNSTATE","30 Jun",4187,1992,2195,501,0,28,473,92,1630,792,-989,1433,"30 Jun",4187,1992,2195,501,0,28,473,92,1630,792,-989,1433,"30 Jun",3904,1844,2060,-228,0,-145,-83,112,2031,898,-1117,1812,"30 Jun",3904,1844,2060,-228,0,-145,-83,112,2031,898,-1117,1812,"30 Jun",5537,2610,2927,1899,3,424,1472,174,1282,1177,-537,1922,"30 Jun",5537,2610,2927,1899,3,424,1472,174,1282,1177,-537,1922,"30 Jun",5274,-1245,6518,1367,2,17,1349,163,5006,1535,-2273,4269,"30 Jun",5274,-1245,6518,1367,2,17,1349,163,5006,1535,-2273,4269,"30 Jun",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"149","SWANN","30 Jun",210978,12097,198881,114767,17257,5609,91901,100234,6746,41374,-14161,33959,"30 Jun",210978,12097,198881,114767,17257,5609,91901,100234,6746,41374,-14161,33959,"30 Jun",215120,14747,200373,104207,14970,5071,84166,91647,24560,55186,-24107,55639,"30 Jun",215120,14747,200373,104207,14970,5071,84166,91647,24560,55186,-24107,55639,"30 Jun",209069,11648,197421,86023,14895,8773,62355,95070,39996,33666,-22008,51654,"30 Jun",209069,11648,197421,86023,14895,8773,62355,95070,39996,33666,-22008,51654,"30 Jun",212440,13466,198973,92819,14637,2625,75557,101230,22186,15289,-12401,25074,"30 Jun",212440,13466,198973,92819,14637,2625,75557,101230,22186,15289,-12401,25074,"30 Jun",207168,15786,191381,110233,18683,4129,87421,101902,2058,3588,-1322,4324,"30 Jun",207168,15786,191381,110233,18683,4129,87421,101902,2058,3588,-1322,4324,"30 Jun",207904,18746,189158,114504,23338,7040,84126,90304,14728,14284,-9209,19803
"150","SWISS RE","31 Dec",330622,76128,254494,150839,0,10018,140821,48297,65376,53177,-38729,79824,"31 Dec",753751,92078,661673,373700,0,10034,363666,112127,185880,95239,-75225,205894,"31 Dec",753751,92078,661673,373700,0,10034,363666,112127,185880,95239,-75225,205894,"31 Dec",517104,88639,428465,149257,0,7363,141894,136720,149851,66365,-93709,122507,"31 Dec",517104,88639,428465,149257,0,7363,141894,136720,149851,66365,-93709,122507,"31 Dec",550237,119782,430455,453117,0,138514,314603,72089,43763,63527,-62098,45192,"31 Dec",550237,119782,430455,453117,0,138514,314603,72089,43763,63527,-62098,45192,"31 Dec",639960,314625,325335,374609,0,96257,278352,58291,-11308,220098,-85856,122934,"31 Dec",639960,314625,325335,374609,0,96257,278352,58291,-11308,220098,-85856,122934,"31 Dec",621354,220870,400484,311780,0,206629,105151,61149,234184,-21654,-95969,116561,"31 Dec",621354,220870,400484,311780,0,206629,105151,61149,234184,-21654,-95969,116561
"151","TAXI","30 Jun",875,0,875,818,0,502,316,0,559,121,-624,56,"30 Jun",875,0,875,818,0,502,316,0,559,121,-624,56,"30 Jun",943,0,943,988,0,520,468,0,475,219,-407,287,"30 Jun",943,0,943,988,0,520,468,0,475,219,-407,287,"30 Jun",922,0,922,1233,0,612,621,0,301,292,-437,156,"30 Jun",922,0,922,1233,0,612,621,0,301,292,-437,156,"30 Jun",0,0,0,43,0,118,-75,0,75,633,-392,316,"30 Jun",0,0,0,43,0,118,-75,0,75,633,-392,316,"30 Jun",0,0,0,11,0,30,-19,0,19,-41,92,70,"30 Jun",0,0,0,11,0,30,-19,0,19,-41,92,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"152","TGI AUS","31 Dec",1494,-181,1675,-2097,1514,11498,-15109,413,16371,14683,-10250,20804,"31 Dec",1760,579,1181,-6618,3212,9916,-19746,201,20726,10768,-10595,20899,"31 Dec",1760,579,1181,-6618,3212,9916,-19746,201,20726,10768,-10595,20899,"31 Dec",1623,880,743,21557,1359,22762,-2564,-393,3700,6386,-4756,5330,"31 Dec",1623,880,743,21557,1359,22762,-2564,-393,3700,6386,-4756,5330,"31 Dec",1822,255,1567,-10454,864,124,-11442,-100,13109,8434,-9399,12144,"31 Dec",1822,255,1567,-10454,864,124,-11442,-100,13109,8434,-9399,12144,"31 Dec",-825,174,-999,4206,2164,4716,-2674,-42,1717,10619,-4986,7350,"31 Dec",-825,174,-999,4206,2164,4716,-2674,-42,1717,10619,-4986,7350,"31 Dec",462,453,9,-17458,125,-11435,-6148,-6,6163,3072,-2988,6247,"31 Dec",462,453,9,-17458,125,-11435,-6148,-6,6163,3072,-2988,6247
"153","TMIC","30 Jun",1665,8,1657,639,0,0,639,0,1018,131,-3090,-1941,"30 Jun",1665,8,1657,639,0,0,639,0,1018,131,-3090,-1941,"30 Jun",5006,2121,2885,2874,22,10,2842,308,-265,483,-2925,-2707,"30 Jun",5006,2121,2885,2874,22,10,2842,308,-265,483,-2925,-2707,"30 Jun",14368,2379,11989,7581,402,909,6270,432,5287,1473,-5809,951,"30 Jun",14368,2379,11989,7581,402,909,6270,432,5287,1473,-5809,951,"30 Jun",8638,2161,6477,10017,0,1028,8989,332,-2844,2401,-1501,-1944,"30 Jun",8638,2161,6477,10017,0,1028,8989,332,-2844,2401,-1501,-1944,"30 Jun",0,15,-15,3039,103,-850,3786,0,-3801,1890,-6975,-8886,"30 Jun",0,15,-15,3689,-310,-432,4431,0,-4446,1890,-6975,-9531,"30 Jun",0,0,0,-12753,0,-1156,-11597,12,11585,1334,-1628,11291
"154","TOKIO","31 Mar",32424,13491,18933,21685,6191,8383,7111,2956,8866,3941,-5065,7742,"31 Mar",32424,13491,18933,21685,6191,8383,7111,2956,8866,3941,-5065,7742,"31 Mar",42070,20000,22070,39427,4814,22621,11992,4490,5588,4648,-3645,6591,"31 Mar",42070,20000,22070,39427,4814,22621,11992,4490,5588,4648,-3645,6591,"31 Mar",33741,10280,23461,16798,3067,1642,12089,6065,5307,5886,-7352,3841,"31 Mar",33741,10280,23461,16798,3067,1642,12089,6065,5307,5886,-7352,3841,"31 Mar",36700,7907,28793,38495,-1418,17416,22497,8098,-1802,6808,-1742,3264,"31 Mar",36700,7907,28793,38495,-1418,17416,22497,8098,-1802,6808,-1742,3264,"31 Mar",28972,10482,18490,57235,1721,32866,22648,8323,-12481,6533,3638,-2310,"31 Mar",28972,10482,18490,57235,1721,32866,22648,8323,-12481,6533,3638,-2310,"31 Mar",31057,17553,13504,2757,1313,-4814,6258,4746,2500,3650,-4254,1896
"155","TOWER","30 Sep",0,0,0,624,0,624,0,0,0,1332,-515,817,"30 Sep",0,0,0,66,0,277,-211,0,211,2008,-727,1492,"30 Sep",0,0,0,66,0,277,-211,0,211,2008,-727,1492,"30 Sep",0,0,0,182,0,-18,200,0,-200,1931,-728,1003,"30 Sep",0,0,0,182,0,-18,200,0,-200,1931,-728,1003,"30 Sep",0,0,0,299,0,24,275,0,-275,1520,-433,812,"30 Sep",0,0,0,299,0,24,275,0,-275,1520,-433,812,"30 Sep",0,0,0,630,0,364,266,0,-266,822,-472,84,"30 Sep",0,0,0,630,0,364,266,0,-266,822,-472,84,"30 Sep",0,0,0,794,0,569,225,0,-225,1677,-507,945,"30 Sep",0,0,0,794,0,569,225,0,-225,1677,-507,945
"156","TRAVELERS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30 Sep",0,0,0,-26677,0,-14949,-11728,0,11728,5139,0,16867,"30 Sep",0,0,0,-3503,0,-2110,-1393,0,1393,5813,-1315,5891,"30 Sep",0,0,0,-3503,0,-2110,-1393,0,1393,5813,-1315,5891,"30 Sep",0,0,0,-11332,0,-3979,-7353,0,7353,3085,-3314,7124,"30 Sep",0,0,0,-11332,0,-3979,-7353,0,7353,3085,-3314,7124
"157","TRC","31 Dec",22145,1249,20896,3771,0,2233,1538,2834,16524,1212,-5865,11871,"31 Dec",15786,796,14990,3632,0,324,3308,2091,9591,1870,-4700,6761,"31 Dec",15786,796,14990,3632,0,324,3308,2091,9591,1870,-4700,6761,"31 Dec",32777,2301,30476,19494,0,-2553,22047,1875,6554,2557,-5502,3609,"31 Dec",32777,2301,30476,19494,0,-2553,22047,1875,6554,2557,-5502,3609,"31 Dec",23642,1447,22195,4072,0,0,4072,4610,13513,3604,-7248,9869,"31 Dec",23642,1447,22195,4072,0,0,4072,4610,13513,3604,-7248,9869,"31 Dec",23511,1489,22022,9062,0,0,9062,2384,10576,8295,-7680,11191,"31 Dec",23511,1489,22022,9062,0,0,9062,2384,10576,8295,-7680,11191,"31 Dec",42668,1752,40916,25452,0,2214,23238,5777,11901,4239,-6028,10112,"31 Dec",42668,1752,40916,25452,0,2214,23238,5777,11901,4239,-6028,10112
"158","TTCLUB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31 Dec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31 Dec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31 Dec",25100,17097,8003,18387,0,14505,3882,4512,-392,172,214,-6,"31 Dec",25100,17097,8003,18387,0,14505,3882,4512,-392,172,214,-6
"159","VERO","31 Dec",2474914,237373,2237541,1896895,306716,56284,1533895,577842,125804,224002,8468,358274,"31 Dec",2571928,205370,2366558,2065327,373948,26081,1665298,611247,90013,288514,-59114,319413,"31 Dec",2571928,205370,2366558,2065327,373948,26081,1665298,611247,90013,288514,-59114,319413,"31 Dec",2797935,299151,2498784,2167616,489617,34871,1643128,667798,187858,159939,-6848,340949,"30 Jun",2797935,299151,2498784,2167616,489617,34871,1643128,667798,187858,159939,-6848,340949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30 Jun",2936259,277212,2659047,2669003,518635,159348,1991020,695453,-27426,203732,-146718,29588,"30 Jun",2936259,277212,2659047,2669003,518635,159348,1991020,695453,-27426,203732,-146718,29588,"30 Jun",1331497,170430,1161067,-1637943,-433834,77372,-1281481,287708,2154840,303932,-2384789,73983,"30 Jun",1331497,170430,1161067,-1637943,-433834,77372,-1281481,287708,2154840,303932,-2384789,73983,"30 Jun",1224061,251533,972528,885255,43654,151762,689839,330011,-47322,634189,-76315,510552
"160","VERO LMI","31 Dec",456,-3472,3928,-37724,0,-912,-36812,14529,26211,22444,-14403,34252,"31 Dec",5,3052,-3047,-28566,0,-101,-28465,-540,25958,19953,-13780,32131,"31 Dec",5,3052,-3047,-28566,0,-101,-28465,-540,25958,19953,-13780,32131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"161","VEROc ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30 Jun",2936293,294265,2642028,2680030,536434,221528,1922068,682264,37696,350111,-108545,279262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"162","VIRGINIA","31 Dec",9105,1789,7316,3270,0,-137,3407,1021,2888,1124,-573,3439,"31 Dec",10486,2947,7539,2263,0,239,2024,813,4702,1364,-437,5629,"31 Dec",10486,2947,7539,2263,0,239,2024,813,4702,1364,-437,5629,"31 Dec",11212,-6318,17530,3818,0,-367,4185,10077,3268,1408,-1096,3580,"31 Dec",11212,-6318,17530,3818,0,-367,4185,10077,3268,1408,-1096,3580,"31 Dec",13768,884,12884,6363,0,288,6075,5094,1715,1286,-1986,1015,"31 Dec",13768,884,12884,6363,0,288,6075,5094,1715,1286,-1986,1015,"31 Dec",18525,1147,17378,12312,0,220,12092,7079,-1793,2939,-1522,-376,"31 Dec",18525,1147,17378,12312,0,220,12092,7079,-1793,2939,-1522,-376,"31 Dec",20801,1171,19630,14570,0,-50,14620,6862,-1852,1125,-1527,-2254,"31 Dec",20801,1171,19630,14570,0,-50,14620,6862,-1852,1125,-1527,-2254
"163","WESFARMERS","30 Jun",272476,39438,233038,168461,9993,24765,133703,57387,41948,12710,-25947,28711,"30 Jun",272476,39438,233038,168461,9993,24765,133703,57387,41948,12710,-25947,28711,"30 Jun",289211,44162,245049,216469,13906,64489,138074,63495,43480,12335,-27396,28419,"30 Jun",289211,44162,245049,216469,13906,64489,138074,63495,43480,12335,-27396,28419,"30 Jun",297272,51844,245428,177983,15564,27353,135066,67474,42888,14501,-29257,28132,"30 Jun",297272,51844,245428,177983,15564,27353,135066,67474,42888,14501,-29257,28132,"30 Jun",328928,46133,282795,190874,7161,24342,159371,73390,50034,18522,-36500,32056,"30 Jun",328928,46133,282795,190874,7161,24342,159371,73390,50034,18522,-36500,32056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"164","WESTERN","31 Dec",17551,15795,1756,-12634,-1038,-11491,-105,-3774,5635,710,-2526,3819,"31 Dec",24535,22082,2453,4513,132,1102,3279,-4817,3991,963,-2252,2702,"31 Dec",24535,22082,2453,4513,132,1102,3279,-4817,3991,963,-2252,2702,"31 Dec",32991,19718,13273,6062,495,5018,549,-2708,15432,1993,-6174,11251,"31 Dec",32991,19718,13273,6062,495,5018,549,-2708,15432,1993,-6174,11251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"165","WESTPAC","30 Sep",144820,12373,132447,61712,0,-106,61818,37928,32701,8090,-11095,29696,"30 Sep",152781,10777,142004,60373,0,-4,60377,38038,43589,7140,-14055,36674,"30 Sep",152781,10777,142004,60373,0,-4,60377,38038,43589,7140,-14055,36674,"30 Sep",172227,10968,161259,80586,0,158,80428,45671,35160,7512,-11140,31532,"30 Sep",172227,10968,161259,80586,0,158,80428,45671,35160,7512,-11140,31532,"30 Sep",188257,10602,177655,79523,0,401,79122,52081,46452,7334,-14082,39704,"30 Sep",188257,10602,177655,79523,0,401,79122,52081,46452,7334,-14082,39704,"30 Sep",196311,12055,184256,92462,0,634,91828,58968,33460,10351,-11303,32508,"30 Sep",196311,12055,184256,92462,0,634,91828,58968,33460,10351,-11303,32508,"30 Sep",213062,16240,196822,139025,0,17448,121577,57687,17558,6991,-5553,18996,"30 Sep",213062,16240,196822,139025,0,17448,121577,57687,17558,6991,-5553,18996
"166","WESTPORT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31 Dec",27952,20058,7894,-141043,0,11965,-153008,4239,156663,31954,-42366,146251,"31 Dec",27952,20058,7894,-141043,0,11965,-153008,4239,156663,31954,-42366,146251,"31 Dec",49290,35355,13935,3644,0,8804,-5160,3787,15308,68261,-25544,58025,"31 Dec",49290,35355,13935,3644,0,8804,-5160,3787,15308,68261,-25544,58025,"31 Dec",48031,19877,28154,-16522,0,2250,-18772,6474,40452,16123,-21288,35287,"31 Dec",48031,19877,28154,-16522,0,2250,-18772,6474,40452,16123,-21288,35287
"167","WGI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30 Jun",779497,211988,567509,582023,72347,131388,378288,166238,22983,27080,-32355,17708,"30 Jun",896675,229006,667669,1114552,109995,282376,722181,196064,-250576,52575,44066,-153935,"30 Jun",896675,229006,667669,1114552,109995,282376,722181,196064,-250576,52575,44066,-153935,"30 Jun",1129532,247659,881873,813152,101300,147479,564373,278084,39416,49799,-50838,38377
